department,short_label,unit,budget_2023,budget_2024
General Public Services,Public services,m,29126,32395
Defence,Defence,m,42850,47986
Public Order And Safety,Public order,m,7434,8421
Education,Education,m,48258,53046
Health,Health,m,106538,112693
Social Security And Welfare,Social welfare,m,250280,266693
Recreation And Culture,Culture,m,4776,5372
Housing And Community Amenities,Housing,m,7940,9999
Fuel And Energy,Energy,m,13006,20121
Agriculture Forestry And Fishing,Agriculture,m,5156,4317
Mining Manufacturing And Construction,Industry,m,5022,5511
Transport And Communication,Transport,m,17508,16769
Other Economic Affairs,Economic affairs,m,12447,13386
Other Purposes,Other,m,133743,137810
